id,sentence1,sentence2,label
39,ٹیم نے 19 فروری کو اسی شام اگلے کھیل میں ہونے والی تبدیلیوں کا جواب دیا۔,ٹیم نے اسی کھیل میں ہونے والی تبدیلیوں کا جواب دیا جو اگلے 19 فروری کی شام۔,0
40,موجودہ سمر لیگ کا ایک حصہ نشا سلور نائٹس ، شہر کی کولیجیٹ ٹیم ہے۔,سمر کالججیٹ لیگ کا ایک حصہ نشاوا سلور نائٹس شہر کی موجودہ ٹیم ہے۔,0
48,1966 میں مشرقی جرمنی میں 1949 میں مغربی جرمنی میں آخری بار ، `` فالبیل 'کا استعمال کیا گیا تھا۔,1949 میں مشرقی جرمنی میں 1966 میں ، 1949 میں مغربی جرمنی میں آخری بار ، `` فال بیل '' کا استعمال کیا گیا تھا۔,1
51,نہر یورپ اور بیلجیئم میں سب سے قدیم بحری نہروں میں سے ایک ہے۔,نہر بیلجیئم اور واقعی یورپ میں سب سے قدیم بحری نہروں میں سے ایک ہے۔,0
52,2009 میں وہ واپس فلاڈیلفیا چلا گیا اور آج نیو یارک شہر میں رہتا ہے۔,وہ 2009 میں فلاڈیلفیا واپس چلا گیا اور اب وہ نیو یارک شہر میں رہتا ہے۔,1
53,نیو یارک سٹی کے شہر کلیمور ، اوکلاہوما میں پیٹ کے کینسر کی وجہ سے ان کا انتقال ہوگیا ، جہاں لن رِگز میموریل 30 جون 1954 کو واقع ہے۔,نیو یارک شہر میں 30 جون 1954 کو پیٹ کے کینسر کی وجہ سے ان کا انتقال ہوگیا۔ کلیمور ، اوکلاہوما میں لن رِگز میموریل کا گھر ہے۔,0
55,اسٹپسٹس جرمنی کے شہر کورنیؤبرگ میں پیدا ہوئے تھے اور انہوں نے اپنا بچپن ویانا کے اسٹامرسڈورف میں گزارا تھا۔,اسٹپسٹ کورنوئبرگ میں پیدا ہوئے تھے ، اور انہوں نے اپنا بچپن اسٹیمرڈورف ، ویانا میں گزارا تھا۔,1
67,کیٹا خاندان نے 12 ویں صدی سے لے کر 17 ویں صدی کے اوائل تک پری امپیریل اور امپیریل مالی پر حکمرانی کی۔,کیٹا خاندان نے 12 ویں سے 17 ویں صدی کے اوائل تک مالی سے قبل امپیریل اور امپیریل پر حکمرانی کی۔,1
68,`` فرشتہ آنکھیں '' ایک 1946 کا مشہور گانا ہے جس میں میٹ ڈینس نے تشکیل دیا ہے ، جس میں ارل برینٹ کی دھن ہے۔,`` فرشتہ آنکھیں '' ایک مشہور گانا ہے جو 1946 میں ارل برینٹ نے تشکیل دیا تھا ، جس میں میٹ ڈینس کے متن تھے۔,0
83,یہ موسیقی شیام نے لکھی تھی اور دھن کو سریکومارن تھامپی اور ستیان انتھیککڈ نے تشکیل دیا تھا۔,یہ موسیقی شیام نے لکھی تھی اور اس کی دھن سریکومارن تھامپی اور ستیان انتککڈ نے کمپوزیشن کی تھی۔,1
84,یہ فلم ایک تجارتی ہٹ تھی ، اور سرجیو سولیما کی ایک کامیاب فلموں میں سے ایک تھی اور سابق اسپگیٹی - ہدایتکار کے مغربی ممالک سے کم سیاسی۔,یہ فلم ایک تجارتی ہٹ تھی ، اور سرجیو سولیما کی زیادہ سیاسی فلموں میں سے ایک ، اور سابق اسپگیٹی - ہدایتکار کے مغربی ممالک سے کم کامیاب تھی۔,0
95,کبیر نے سریکا سے کہا کہ وہ رنویر کے کھیل کو ختم کرنے کے اپنے منصوبے کو ظاہر کرے۔,کبیر نے سریکا سے کہا کہ وہ رنویر کے کھیل کو اپنے پاس ختم کرنے کے اپنے منصوبے کو ظاہر کرے۔,1
96,ٹیم نے 19 فروری کو اسی شام اگلے کھیل میں ہونے والی تبدیلیوں کا جواب دیا۔,ٹیم نے اگلے فروری کی شام ہونے والی اسی کھیل میں ہونے والی تبدیلیوں کا جواب دیا۔,0
98,لیفٹیننٹ جان گیج نے مئی 1805 میں انہیں بحیرہ شمالی کے لئے کمیشن دیا ، اور لیفٹیننٹ رابرٹ رمسی نے 1806 میں ان کی جگہ لے لی۔,لیفٹیننٹ رابرٹ رمسی نے مئی 1805 میں اسے شمالی بحیرہ شمالی میں داخل کیا ، اور لیفٹیننٹ جان گیج نے 1806 میں ان کی جگہ لے لی۔,0
104,ایما ٹاؤنشینڈ کی نمائندگی ڈیوڈ گوڈون نے ڈی جی اے ایسوسی ایٹس میں کی ہے۔,ڈیوڈ ڈیوڈ گوڈون کی نمائندگی ڈی جی اے ایسوسی ایٹس میں ایما ٹاؤنشینڈ کے ذریعہ کی گئی ہے۔,0
105,سمر کالججیٹ لیگ کا ایک حصہ نشاوا سلور نائٹس شہر کی موجودہ ٹیم ہے۔,موجودہ سمر لیگ کا ایک حصہ نشاوا سلور نائٹس ، شہر کی کالججیٹ ٹیم ہیں۔,0
112,پل کے مغربی سرے سے ، پنسلوینیا روٹ 268 جنوب کی طرف پارکر اور شمال کی طرف ایملٹن تک جاتا ہے۔,پنسلوینیا روٹ 268 پل کے مغربی سرے سے جنوب اور شمال میں ایملٹن تک جاتا ہے۔,1
116,یہ برطانیہ میں عام تھے ، لیکن یورپ میں ، کم از کم بڑے انجنوں کے لئے ، یہ نسبتا rare کم ہی ہوتا ہے۔,یہ برطانیہ میں شاذ و نادر ہی تھے ، لیکن یورپ میں ، کم از کم بڑے انجنوں کے لئے ، وہ نسبتا common عام ہیں۔,0
118,السٹن 21 دسمبر 1965 کو میری لینڈ کے آکسن ہل میں پیدا ہوا تھا۔ اس نے کنیکٹیکٹ کے نیو ہیون میں آکسن ہل ہائی اسکول میں تعلیم حاصل کی۔,وہ 21 دسمبر 1965 کو میری لینڈ کے شہر آکسن ہل میں پیدا ہوا تھا اور اس نے کنیکٹیکٹ کے نیو ہیون کے ہائی اسکول میں تعلیم حاصل کی تھی۔,1
119,امریکی ہلاکتوں کی کل 28 ہلاکت ہوئی ، جبکہ ویت نام کانگ کے نقصانات 345 ہلاک اور مزید 192 کے تخمینے میں ہلاک ہوگئے۔,مجموعی طور پر ، 28 امریکی متاثرین ہلاک ہوگئے ، جبکہ ویت نام کانگ کے نقصانات 345 اور 192 کے تخمینے کے مطابق ہلاک ہوگئے۔,1
120,سی اے میں ، چارٹرڈ اکاؤنٹنٹ (سری لنکا سری لنکا) کا عنوان صرف سری لنکا کے اکاؤنٹنٹس انسٹی ٹیوٹ کے ممبروں کے ذریعہ استعمال کیا جاسکتا ہے۔,سی اے میں ، چارٹرڈ اکاؤنٹنٹ (سری لنکا سری لنکا) کا عنوان سری لنکا کے چارٹرڈ اکاؤنٹنٹس انسٹی ٹیوٹ کے صرف ممبران ہی استعمال کرسکتے ہیں۔,1
123,سیمیو کا تعلق 14 مارچ کو ای پلس کے بقیہ ای پلس کے حصول کے بعد ، ڈچ ٹیلی مواصلات گروپ کے پی این سے ہے۔,14 مارچ کو ای پلس کے بقیہ حصول کے بعد ، سمیو کا تعلق ڈچ ٹیلی مواصلات گروپ کے پی این سے ہے۔,1
126,کوئیکنڈل کے علاوہ ، رابرٹ وائٹ اور جوشوا ساؤل زیمرمین نے ہیمپشائر کاؤنٹی کے لئے چانسری کمشنر کی حیثیت سے خدمات انجام دیں۔,رابرٹ وائٹ اور جوشوا ساؤل زیمرمین نے ہیمپشائر کاؤنٹی کے لئے چانسری کمشنر کی حیثیت سے کوکینڈل کے ساتھ مل کر خدمات انجام دیں۔,1
135,ان خیالات کا اظہار اکثر پروٹسٹنٹ ، پیوریٹن اور انجیلی بشارت کی تحریکوں کے ظہور کے دوران کیا جاتا تھا۔,انجیلی بشارت ، پیوریٹینیکل اور پروٹسٹنٹ تحریکوں کے ظہور کے دوران اکثر ان خیالات کا اظہار کیا جاتا تھا۔,1
141,یو ای ایف اے کپ 1973 - 74 فینورڈ روٹرڈیم نے ٹوٹنہم ہاٹ پور 4: 2 پر جیتا تھا۔,1973 - 74 یو ای ایف اے کپ فیتنورڈ روٹرڈیم نے ٹوٹنہم ہاٹ پور 4 - 2 پر مجموعی طور پر جیتا تھا۔,1
148,ٹلفورڈ ایلی جان ٹول رٹ کا پوتا تھا ، جو کریب رابنسن کا ابتدائی دوست تھا۔,ٹلفورڈ ایلی کریب رابنسن کا پوتا تھا ، جو جان ٹول رٹ کا ابتدائی دوست تھا۔,0
151,اس کے والد کی جوانی میں ہی انتقال ہوگیا ، اور اس کی والدہ ، سیموئل ایڈمز نے 1842 میں کیتھرین اے فگن سے شادی کی ، جو دو سال بعد آرکنساس کے گورنر بن گئے۔,اس کے والد کی جوانی کے دوران انتقال ہوگیا اور ان کی والدہ ، کیتھرین اے فگن نے 1842 میں سموئیل ایڈمز سے شادی کی ، جو دو سال بعد آرکنساس کے گورنر بنے۔,0
152,انہوں نے 13 جون کو البم کے 5 ویں سنگل کی حیثیت سے البم ، `` وائسز '' پر دوسرا ٹریک بھی جاری کیا۔,انہوں نے البم کے 5 ویں سنگل کے طور پر 13 جون کو البم ، `` وائسز '' پر دوسرا ٹریک بھی جاری کیا۔,1
154,سڈنی واٹر بورڈ نے 1888 میں سٹی کونسل سے سڈنی کے لئے پانی کی فراہمی سنبھالی تھی۔,1888 میں ، سڈنی واٹر بورڈ نے سٹی کونسل سے سڈنی کے لئے پانی کی فراہمی سنبھالی۔,1
155,اس کے علاوہ کیو فینگ کا ایک بیٹا ، کی ماؤ بھی تھا۔,کی ماؤ کا ایک بیٹا ، کی فینگ بھی تھا۔,0
162,اس کے پتے باری باری شاخوں کے ساتھ شکل میں ہیں اور ان میں لینس کا بندوبست ، انڈے کے سائز کا یا تقریبا سرکلر ہے اور یہ ایک ڈنڈا لمبا ہے۔,اس کے پتے برانچوں کے ساتھ باری باری ترتیب دیئے جاتے ہیں اور لانس کے سائز کے ، انڈے کے سائز یا تقریبا سرکلر ہوتے ہیں اور لمبا تنے ہوتے ہیں۔,0
163,اس سے میساچوسیٹس اور صوبہ رہوڈ جزیرے کے مابین تنازعہ کے علاقے میں توسیع ہوئی۔,اس سے رہوڈ جزیرے اور صوبہ میساچوسٹس کے مابین تنازعہ کے علاقے کو وسیع کردیا گیا۔,0
164,سلوو ہائی اسکول برک شائر میں گرلز سلیکٹیو گرائمر اسکول تھا ، جو اب سلوو ، بکنگھم شائر تھا۔,سلوو ہائی اسکول ، بکنگھم شائر ، اب برک شائر کے سلوو میں ایک منتخب لڑکیوں کا گرائمر اسکول تھا۔,0
167,یہ لوف کوریب کے قریب ہے ، این 59 روڈ پر اوورٹارڈ اور کلفڈن ، کونیمارا میں۔,یہ اوورٹرارڈ اور کلفڈن کے قریب ہے ، N59 روڈ پر لوف کوریب تک ، کونیمارا میں۔,0
169,اگرچہ سیاہ فام کھلاڑیوں کو خارج کرنا کوئی تحریری اصول نہیں تھا ، لیکن 1933 سے نیشنل فٹ بال لیگ میں کوئی افریقی نژاد امریکی نہیں کھیلا تھا۔,اگرچہ افریقی کھلاڑیوں کو خارج کرنا کوئی تحریری اصول نہیں تھا ، نیشنل فٹ بال لیگ میں کوئی سیاہ فام امریکی کھلاڑی 1933 سے نہیں کھیلا تھا۔,0
170,علی کی موت کے بعد موویہ اقتدار میں آئے اور ایک خاندان قائم کیا۔,موویہ کی موت کے بعد ، علی اقتدار میں آئے اور ایک خاندان کی بنیاد رکھی۔,0
176,1994 میں ، روڈریگو لیو نے ایک سولو کیریئر شروع کرنے کے لئے بینڈ چھوڑ دیا ، اس کی جگہ کارلوس ماریا ٹرینڈاڈ (کی بورڈ سنتھیزائزر) کی جگہ لی گئی۔,1994 میں ، روڈریگو لیو نے ایک سولو کیریئر شروع کرنے کے لئے بینڈ چھوڑ دیا ، اس کی جگہ کارلوس ماریا ٹرینڈاڈ (کی بورڈ سنتھیزائزر) نے لے لیا۔,1
182,1933 میں کیٹیل نے لکھا ہے کہ ، تمام نورڈک ریسوں میں سے ، `` یورپی نسل سب سے زیادہ ذہانت اور مزاج کے استحکام میں تیار ہوئی تھی ''۔,"1933 میں ، کیٹیل نے لکھا ہے کہ تمام نورڈک ریسوں میں سے ، ""ذہانت اور مزاج کے استحکام میں یورپی نسل سب سے زیادہ ترقی یافتہ تھی۔",1
193,ابیس لاسیوکارپا ، جسے عام طور پر مغربی شمالی امریکہ کی ایف آئی آر یا راکی ​​ماؤنٹین ایف آئی آر کہا جاتا ہے ، ایک سبالپائن ایف آئی آر کا درخت ہے۔,ابی لاسیوکارپا ، جسے عام طور پر مغربی شمالی امریکہ کی ایف آئی آر یا راکی ​​ماؤنٹین ایف آئی آر کے نام سے جانا جاتا ہے ، ایک سبالپائن ایف آئی آر کا درخت ہے۔,1
200,امریکی موٹروں نے محدود امداد کی شکل میں صرف تکنیکی مدد فراہم کی۔,امریکی موٹروں نے محدود مدد کی شکل میں صرف تکنیکی مدد فراہم کی۔,1
203,ہیوسٹن کی مرکزی عمارت (ایچ ایم بی) اس سے قبل ہیوسٹن ، ٹیکساس کے ٹیکساس میڈیکل سنٹر میں پرڈینشل بلڈنگ ایک فلک بوس عمارت تھی۔,ہیوسٹن کی مرکزی عمارت (ایچ ایم بی) پہلے پرڈینشل بلڈنگ ، ٹیکساس میڈیکل سنٹر ، ہیوسٹن ، ٹیکساس میں ایک فلک بوس عمارت تھی۔,1
209,1954 میں پیراماریبو واپس آنے کے بعد ، وہ سورینام میں وکیل کی حیثیت سے آباد ہوئے۔,1954 میں سرینام میں واپس آنے کے بعد ، وہ ایک وکیل کی حیثیت سے پراماریبو میں آباد ہوئے۔,0
210,ایروسوچری فلائٹ 4544 کا حادثہ پہلا ہوا بازی کا واقعہ تھا جس میں ایروسوچری شامل تھا ، دوسرا 18 نومبر 2006 کو ایک اور بوئنگ 727 کا حادثہ تھا۔,ایروسوچری فلائٹ 4544 کا حادثہ دوسرا پرواز کا واقعہ تھا جس میں ایروسوچری شامل تھا ، یہ پہلا واقعہ 18 نومبر 2006 کو ایک اور بوئنگ 727 کا حادثہ تھا۔,0
219,کیبوٹ ٹریل - قسط کو کیپ بریٹن میں سائٹ پر فلمایا گیا تھا ، جس میں مشرقی ساحل کے ساتھ ساتھ پیگیس کوو اور نووا اسکاٹیا کے ہائی لینڈز بھی شامل ہیں۔,ایسٹ کوسٹ کے واقعہ کو نووا اسکاٹیا میں مقام پر فلمایا گیا تھا ، جس میں پیگیس کوو اور کیپ بریٹن کے پہاڑی علاقوں میں کیبوٹ ٹریل کے ساتھ شامل تھے۔,0
225,ہرن کی آبادی کو منظم کرنے کا ایک اور طریقہ یہ ہے کہ پیدائش کی شرح کو کنٹرول کیا جائے۔,ہرنوں کی آبادی کو منظم کرنے کا ایک اور طریقہ یہ ہے کہ پیدائش کی شرح کو کنٹرول کیا جائے۔,1
226,یہ نظم چار ٹکڑے ٹکڑے کے مخطوطات میں محفوظ ہے ، جن میں سے ایک ہم عصر ہے۔,نظم چار عصری مخطوطات میں محفوظ ہے ، جن میں سے ایک ٹکڑا ہے:,0
227,منو چاو ، گروپس `` ایئر '' ، کیسیوس ، مریخ چہارم ، لیس نگریس ورٹیس ، اور ایف ایف ایف ، اور ہوو بی نے بھی البم میں حصہ لیا۔,گروپوں '' ایئر `` ، ہووے بی ، مریخ چہارم ، لیس نگریس ورٹیس اور ایف ایف ایف اور منو چاو نے بھی البم میں حصہ لیا۔,0
228,دریائے ہوڈیاسا رومانیہ میں دریائے بریڈو کی ایک معاون ہے۔,دریائے ہوڈیاسا رومانیہ میں دریائے بریڈو کی آب و ہوا ہے۔,1
230,اگرچہ افریقی کھلاڑیوں کو خارج کرنا کوئی تحریری اصول نہیں تھا ، نیشنل فٹ بال لیگ میں کوئی سیاہ فام امریکی کھلاڑی 1933 سے نہیں کھیلا تھا۔,اگرچہ سیاہ فام کھلاڑیوں کو خارج کرنا کوئی تحریری اصول نہیں تھا ، 1933 کے بعد سے نیشنل فٹ بال لیگ میں کوئی افریقی امریکی نہیں کھیلا تھا۔,0
232,اس کے والد پیٹرک بورن ایک رکن پارلیمنٹ ، ٹی ڈی ، سینیٹر اور ڈبلن کے لارڈ میئر تھے۔ ایک اور بھائی الفی بورن بھی ایک ٹی ڈی تھا۔,اس کے والد ، پیٹرک بورن ، ایک مندوب تھے ، سینیٹر اور ڈبلن کے لارڈ میئر تھے ، ایک اور بھائی الفی بورن بھی ٹی ڈی کیا گیا تھا۔,1
234,پہلی سیریز کو دوسرے کے مقابلے میں ناقدین نے بہتر طور پر استقبال کیا تھا۔,دوسری سیریز کو ناقدین نے پہلے سے بہتر طور پر استقبال کیا۔,0
235,فین ووڈ 12 ویں کانگریس کے ضلع میں واقع ہے اور وہ نیو جرسی کے 22 ویں قانون ساز ضلع کا حصہ ہے۔,فین ووڈ 22 ویں کانگریس کے ضلع میں واقع ہے اور وہ نیو جرسی کے 12 ویں ریاستی قانون ساز ضلع کا حصہ ہے۔,0
236,سانٹا کروز دریائے سانٹا کروز کے کنارے واقع ہے جو لگنا ڈی بے کے مشرقی حصے میں بہتا ہے۔,لگونا ڈی بے دریائے سانٹا کروز کے کنارے واقع ہے ، جو سانٹا کروز کے مشرقی حصے میں بہتی ہے۔,0
237,پورٹ ڈی ونسنز واقع ہے جہاں 20 ویں ارونڈیسمنٹ کا جنوب مشرقی کونے پیرس کے 12 ویں ارونڈیسمنٹ کے شمال مشرقی کونے سے ملتا ہے۔,پورٹ ڈی ونسنز واقع ہے جہاں 12 ویں ارونڈیسمنٹ کے شمال مشرقی کونے میں پیرس کے 20 ویں ارونڈیسمنٹ کے جنوب مشرقی کونے سے ملتا ہے۔,0
238,5 مارچ ، 2011 کو ، ایم ٹی وی ہیو نے انی روسی کو ایک اسٹریمنگ لنک شائع کیا ، جس میں ریہناس '' روڈ بوائے `` پرفارم کرتے ہوئے۔,5 مارچ ، 2011 کو ، ایم ٹی وی ہیو نے انی روسی `` روڈ بوائے '' پرفارم کرتے ہوئے ، ریحانہ سے ایک اسٹریمنگ لنک شائع کیا۔,0
242,شاہ کیوئ نے 284 قبل مسیح میں مغربی چاؤ میں کن کے بادشاہ ژاؤ سے ملاقات کی تاکہ الیون کے خلاف اتحاد قائم کیا جاسکے۔,284 قبل مسیح میں ، شاہ کیوئ نے مغربی چاؤ میں کن کے بادشاہ ژاؤ سے ملاقات کی جس نے الیون کے خلاف اتحاد قائم کیا۔,1
243,تانگ خاندان میں چنزو انتظامی خطہ ژوکو کے مشرق میں جدید ہینن کی انتظامیہ کے تحت ہے:,تانگ خاندان میں چنزو کا انتظامی علاقہ مشرقی ژوکو میں جدید ہینن کی انتظامیہ کے تحت ہے:,1
244,`` خالص '' کا بہت مطلب ہے ، اور `` بیلٹر '' یا `` بیلٹا '' کا مطلب بہت اچھا یا اچھا ہے۔,`` خالص '' کا مطلب ہے صرف بہت اور `` بیلٹر '' یا `` بیلٹا '' کا مطلب اچھا یا بڑا ہے۔,0
248,اسٹیفن اسٹیفن کی شادی 29 اگست 1806 کو جیفرسن کاؤنٹی ، الزبتھ کور میں ، جسٹس آف پیس ، بینجمن ہیف نے 29 اگست 1806 کو کی تھی۔,`` 2 '' بینجمن ہو کی شادی 29 اگست 1806 کو جیفرسن کاؤنٹی میں الزبتھ کور کے ساتھ ، جسٹس آف پیس ، اسٹیفن فورڈ نے 29 اگست 1806 کو کی تھی۔,0
253,اس پرجاتیوں کو پہلی بار باضابطہ طور پر نباتات کے ماہر اسٹیفن اینڈلچر نے 1846 میں جوہان جارج کرسچن لہمن کے کام `` Irideae کے حصے کے طور پر بیان کیا تھا۔ پلانٹے پریسیانا ''۔,اس پرجاتیوں کو پہلی بار باضابطہ طور پر 1846 میں نباتات کے ماہر اسٹیفن اینڈلچر نے جوہان جارج کرسچن لہمن کے ذریعہ کام `` Irideae plantae Preissianae '' کے حصے کے طور پر بیان کیا تھا۔,1
256,1912 میں ، ہندوستانی نیشنل کانگریس نے بینک پور میں اپنے 27 ویں اجلاس کا انعقاد راؤ بہادر رگھوناتھ نارسنہنہ مودھولکر کے زیر انتظام امراوتی ، وسطی صوبوں اور بیرار سے کیا۔,1912 میں ، ہندوستانی نیشنل کانگریس نے ایمراوتی اور بیرار کے وسطی صوبوں سے تعلق رکھنے والے راؤ بہادر رگھوناتھ نارسنہنہ مودھولکر کی صدارت میں ، بینک پور میں اپنا 27 واں اجلاس منعقد کیا۔,0
262,سب سے زیادہ عام طور پر استعمال ہونے والے جانوروں کے ریشہ بھیڑوں سے اون کی کٹائی کی جاتی ہے۔ ہاتھ کی بنائی اور شوق بنائی کے لئے ، موٹی ، اون اور ایکریلک سوت اکثر گھومتے رہتے ہیں۔,سب سے زیادہ کثرت سے جانوروں کے ریشہ کو بھیڑوں سے اون کاٹنے کی جاتی ہے۔ ہاتھ کی بنا ہوا اور شوق بنائی کے لئے ، موٹی اون اور ایکریلک سوت اکثر استعمال ہوتے ہیں۔,0
265,ٹیپیکو کمپنی لمیٹڈ اور ٹپیکو کیسینو لمیٹڈ کی بنیاد 2004 میں مالٹا فنانشل سروسز اتھارٹی کے تجارتی رجسٹر میں بین الاقوامی تجارتی کمپنیوں کے طور پر رکھی گئی تھی۔,ٹوپیکو کمپنی لمیٹڈ اور ٹپیکو کیسینو لمیٹڈ کو 2004 میں مالٹا فنانشل سروسز اتھارٹی کے تجارتی رجسٹر میں بین الاقوامی تجارتی کمپنیاں کے طور پر قائم کیا گیا تھا۔,1
278,یہ لوف کوریب کے قریب ہے ، این 59 روڈ پر اوورٹارڈ اور کلفڈن ، کونیمارا میں۔,یہ اوورٹرارڈ اور کلفڈن کے قریب واقع ہے ، N59 روڈ پر لوف کوریب ، کونیمارا میں۔,0
283,14 ستمبر 2006 کو ، لینگ پر واشنگٹن وزرڈز نے دستخط کیے تھے اور انہیں جولائی 2017 میں وزرڈز نے جاری کیا تھا۔,14 ستمبر 2006 کو ، لینگ پر واشنگٹن وزرڈز نے دستخط کیے۔ جولائی 2017 میں ، لینگ کو وزرڈز نے رہا کیا تھا۔,1
284,سنگل کو 12 اکتوبر ، 2012 کو اٹلی میں ریڈیو ایئر پلے پر جاری کیا گیا تھا ، اور اسے 3 دسمبر 2012 کو دنیا بھر میں بھیج دیا گیا تھا۔,سنگل کو 12 اکتوبر ، 2012 کو اٹلی میں ریڈیو ایئر پلے بھیج دیا گیا تھا اور اسے 3 دسمبر ، 2012 کو دنیا بھر میں رہا کیا گیا تھا۔,0
290,اس کی خدمت کے بعد لاک ہارٹ ٹیکساس میں رہتا تھا لیکن حال ہی میں فلوریڈا چلا گیا۔,اس کی خدمت کے بعد ، لاک ہارٹ فلوریڈا میں رہتا تھا ، لیکن حال ہی میں ٹیکساس چلا گیا۔,0
291,یہ شمالی امریکہ میں پایا جاتا ہے ، جہاں اسے نیو فاؤنڈ لینڈ اور لیبراڈور ویسٹ سے برٹش کولمبیا ، شمال میں الاسکا اور یوکون تک ریکارڈ کیا گیا تھا۔,یہ شمالی امریکہ میں پایا جاتا ہے ، جہاں اسے نیو فاؤنڈ لینڈ اور لیبراڈور ویسٹ سے برٹش کولمبیا ، شمال میں الاسکا اور یوکون تک ریکارڈ کیا گیا ہے۔,1
295,اس مغربی رینڈل اسٹاؤن ڈسٹرکٹ میں ووڈلوان ، ملفورڈ مل ، اور بالٹیمور کاؤنٹی شامل ہیں۔,اس مغربی رینڈلسٹاؤن ڈسٹرکٹ میں ووڈلوان ، ملفورڈ مل اور بالٹیمور کاؤنٹی شامل ہے۔,1
298,اسے جان ویلزکوز نے تربیت دی تھی اور جوکی ڈیل رومیوں نے اپنی سب سے اہم دوڑ میں سوار کیا تھا۔,اسے ڈیل رومیوں نے تربیت دی تھی اور اپنی سب سے اہم ریسوں کے دوران جوکی جان ویلزکوز نے سوار کیا تھا۔,0
300,سوانا میں اپنے وقت کے دوران ، چارلس سیلسٹین نے ایک اخبار سے یہ سیکھا کہ ان کا بیٹا ، شرمین ، ساوانا مہم کے دوران فوت ہوگیا تھا ، جنرل نے کبھی اس بچے کو نہیں دیکھا تھا۔,سوانا میں رہتے ہوئے ، چارلس سیلسٹین نے ایک اخبار سے سیکھا کہ اس کا نوزائیدہ بیٹا شرمین ساوانا مہم کے دوران فوت ہوگیا تھا۔ جنرل نے کبھی بچے کو نہیں دیکھا تھا۔,1
305,اس سرورق کو ہیرالڈک آرٹسٹ جان پاسچے نے ڈیزائن کیا تھا اور سنگل `` اسٹیل بندر '' نے آرٹ ڈائریکٹر اینڈریو اسٹیورٹ جیمیسن کا سرورق ڈیزائن کیا ہے۔,اس سرورق کو ہیرالڈک آرٹسٹ اینڈریو اسٹیورٹ جیمسن نے ڈیزائن کیا تھا ، سنگل `` اسٹیل بندر '' نے آرٹ ڈائریکٹر جان پاسچے کا سرورق ڈیزائن کیا ہے۔,0
