premise,choice1,choice2,question,label,idx,changed
O rapaz puxo os pés sobre a mesa.,O seu pai sentouse na mesa.,O seu pai reprochouno.,effect,1,86,False
O meu amigo deu a cabeza ao meu lado.,Chamei o seu nome.,Eu agitei.,cause,0,87,False
O goberno oprimiu aos seus cidadáns.,Os cidadáns representaron a rebelión.,Os cidadáns rexistrados para votar.,effect,0,88,False
O rapaz desapareceu no bosque.,Lanzou a súa tenda.,Chorou por axuda.,effect,1,89,False
A muller viaxou ao estranxeiro.,Quería aprender a debuxar.,Quería aprender sobre outra cultura.,cause,1,90,False
O home estaba celoso do seu compañeiro de traballo.,Promoveuse un compañeiro.,Un compañeiro de traballo traballou ata tarde da noite.,cause,0,91,False
O home foi testemuña de criaturas doutro planeta.,Estaba pensando en cousas imaxinarias.,Meditaba.,cause,0,92,False
O pelo do home volveuse dourado.,Puxo un lixivia nel.,Puxo un xampú nel.,cause,0,93,False
O artista creou unha nova obra.,Criticou o seu traballo anterior.,Sentíase obrigado a atopar motivación.,cause,1,94,False
O bebé mudouse da casa.,Fora liberado do exército.,Ía á universidade.,cause,1,95,False
Os libros caeron na librería.,Os andeis estaban cubertos de po.,O terremoto sacudiu a librería.,cause,1,96,False
A electricidade da miña casa está apagada.,Acendín as luces.,Axustei o fusible.,effect,1,97,False
Fomos transportados por un recipiente a un parque de atraccións.,Esta ferramenta foi aterradora.,Esta ferramenta foi divertida.,effect,1,98,False
A bolsa de autobús comezou a caer.,Botei a manteiga nunha bolsa.,Prendeino a lume no microondas.,cause,1,99,False
A árbore caeu nun fío eléctrico.,A electricidade saíu na rúa.,A previsión prevía fortes ventos.,effect,0,100,False
O portavoz fixo un comentario politicamente incorrecto.,Molestou ao público.,Molestou ao público.,effect,1,101,False
Apuqueime con pinos.,As gotas de suor caeron da miña cara.,Unha gota de sangue levantouse do dedo.,effect,1,102,False
O peixe flotaba na superficie do barril.,Tiña fame.,Estaba morto.,cause,1,103,False
A voz dun home seco.,Ten a gripe.,Deixou de fumar.,cause,0,104,False
Abriuse a porta do ascensor.,O ascensor chegou ao chan seleccionado.,O ascensor conxelouse no medio do chan.,cause,0,105,False
O mozo entrou na casa.,Enganou aos seus anciáns.,Os seus pais impedíronlle marchar.,cause,1,106,False
O baño estaba cheo de auga.,O baño estaba desbordado.,O tanque de auga quente foi danado.,cause,0,107,False
O pequeno can sentouse xunto ao seu dono.,O dono mantivo un can pequeno para el.,O dono puxo ao can pequeno nunha cadea.,cause,1,108,False
O home atopou a súa semellanza.,Estaba baixo unha árbore dispersa.,Estaba nun lago tranquilo.,cause,1,109,False
Botei de menos a chamada de teléfono da miña moza.,Chamei de novo.,Coñecino para cear.,effect,0,110,False
A familia estaba na rúa.,O can corría a casa.,Perderon xoias caras na súa casa.,cause,0,111,False
Notei o meu alento mentres respiraba profundamente.,O tempo estaba tranquilo.,O peito sentiuse axustado.,cause,0,112,False
Os empregados formaron unha federación.,Querían un mellor ambiente de traballo.,O seu empresario engadiu un salario.,cause,0,113,False
Cocín unha empanada de mazá.,O fedor da putrefacción encheu a cociña.,Un aroma agradable encheu a cociña.,effect,1,114,False
A muller tivo dificultades para camiñar.,Levaba zapatos con tacóns altos.,Quitouse os zapatos.,cause,0,115,False
O vapor saíu da auga.,A auga fervía.,Cubrín a pota.,cause,0,116,False
Todos os meus calcetíns están na roupa.,Eu levaba chaira.,Eu levaba botas.,effect,0,117,False
O argumento do político considerábase absurdo.,Perdeu o apoio dos votantes.,Foi acusado de corrupción.,effect,0,118,False
Cada un negouse ata a data.,A parella quedou embarazada.,Os amantes fuxiron.,effect,1,119,False
O edificio estaba especializado para millonarios.,O millonario quería que o edificio demolido.,Un millonario doou cartos para construílo.,cause,1,120,False
O compañeiro de vendas acusou á moza de roubar.,O compañeiro de vendas viu á rapaza metendo o produto na súa carteira.,O compañeiro de vendas axudou á moza a atopar a súa carteira favorita.,cause,0,121,False
O país declarou a guerra nas áreas circundantes.,Os soldados foron enviados para loitar.,Os soldados reuníronse coas súas familias.,effect,0,122,False
Os tribunais confirmaron a controvertida decisión.,A violencia estalou diante do xulgado.,A parella intercambiou votos diante do xulgado.,effect,0,123,False
A rapaza cheiraba algo queimaba.,Sacou os biscoitos da botella.,Deixou os biscoitos no forno.,cause,1,124,False
A choiva estaba vertendo.,A tormenta era aínda peor.,Corrín dentro.,effect,1,125,False
Os que estaban dentro do palacio foron liberados.,O ascensor deixou de funcionar.,A campá de lume soou.,effect,1,126,False
O pai odiaba o alcolismo do seu fillo.,O pai mercou ao seu fillo unha cervexa.,O pai expulsou ao seu fillo da casa.,effect,1,127,False
O avogado subiu as escaleiras ao seu despacho.,O secretario foi a casa para un descanso.,O ascensor era malo.,cause,1,128,False
O home foi acosado polos seus amigos.,Os seus amigos cortárono.,As súas amigas mercaron o xantar.,cause,0,129,False
A rapaza deulle cartos.,Keshia devolveu o seu cambio.,Keshia esqueceu darlle un recibo á moza.,effect,0,130,False
A muller foi colocada nunha cadeira de rodas.,Foi paralizado do accidente.,Foi hospitalizado nunha camilla.,cause,0,131,False
Os cidadáns ían a bandeira nacional fóra das súas casas.,O país recordaba a súa independencia.,O país pasaba por dificultades económicas.,cause,0,132,False
O equipo perdeu no torneo.,Entristeceron aos seus fans.,Eles emocionaron aos seus fans.,effect,0,133,False
O meu amigo mostroume que tiña comida pegada nos dentes.,Sentinme avergoñado.,Sentinme orgulloso.,effect,0,134,False
O rapaz fallou a súa proba de historia.,Estivo atento na clase.,Esqueceu ler.,cause,1,135,False
O centro da cidade colapsou.,Un terremoto sacudiu a cidade.,A taxa de criminalidade na cidade aumentou.,cause,0,136,False
A súa moza rompeu con el.,Pediulle que se reconciliase con el.,Presentouna aos seus pais.,effect,0,137,False
Dous nenos baixaron a golpear o balón ao mesmo tempo.,A bola rodou.,As súas cabezas chocaron.,effect,1,138,False
Rakuni escavou unha lata de lixo.,Había cartón dentro dunha lata de lixo.,A tapa estaba aberta nunha lata de lixo.,cause,1,139,False
O rapaz debuxou un lapis.,Foi doado.,Era aburrido.,cause,1,140,False
O caixeiro negouse a permitir á muller devolver o diñeiro para a roupa.,Perdeu o recibo.,A roupa non se axustaba a ela.,cause,0,141,False
Os arañazos na miña pel eran enormes.,Arrefriaches rapidamente.,Deixaches unha cicatriz.,effect,1,142,False
O home botou unha ollada estraña dos pasaxeiros dentro do tren.,Estaba brillando.,Estaba rodeando só.,cause,1,143,False
O neno deixou migas no chan.,Sisimizi arrastrouse nas migas.,O neno apartou o pan.,effect,0,144,False
A muller entregoulle o tecido á súa irmá.,A irmá da muller dobroulle o brazo.,A irmá da muller comezou a chorar.,cause,1,145,False
O home levou a Nanaa.,Os beizos estaban secos.,Estaba preocupado polo mal cheiro.,cause,1,146,False
A parella marchou cedo para o programa.,Esperaban unha reunión ao redor do corredor.,Recibiron indicacións para o salón.,cause,0,147,False
A muller quedou na casa do traballo.,O seu xefe felicitouno.,Un compañeiro de traballo tomou unha oportunidade para el.,effect,1,148,False
O home asinou a aplicación activista dos activistas.,Apoiou a súa causa.,Rebuoulles como un tolo.,cause,0,149,False
O corazón do actor golpeaba antes do acto.,Tivo medo da plataforma.,Memorizou os seus versos.,cause,0,150,False
Estaba perdido.,Conten o meu diñeiro.,Non abrín o mapa.,effect,1,151,False
A froita madura deixouse ao sol.,Comeuse.,Lilisinyaa.,effect,1,152,False
O coche rompeu.,Acendín un lume.,O motor estivo moi quente.,cause,1,153,False
O home feriu as costas.,Ela foi ver a un psiquiatra.,Permaneceu na cama durante sete días.,effect,1,154,False
Acendín un lume na lareira.,Estaba a menos de madeira.,Facía frío na casa.,cause,1,155,False
A muller deixou de correr.,Tiña unha espiña dentro da súa costela.,Gañou nova forza.,cause,0,156,False
Chamei na porta do meu veciño.,O meu veciño me deu a benvida dentro.,O meu veciño saíu da súa casa.,effect,0,157,False
A muller mantivo a respiración con frustración.,O seu marido non entendeu a súa preocupación.,O seu marido bicoulle adeus.,cause,0,158,False
O profesor eloxiou aos alumnos.,Os alumnos responderon correctamente á pregunta.,Os estudantes mostráronse reacios a responder á pregunta.,cause,0,159,False
A muller é deficiente nos ovos.,Foi ao campo.,Foi ao supermercado.,effect,1,160,False
Coñecín a un vello amigo.,Revelei o segredo para ela.,Abrazei.,effect,1,161,False
A muller negouse a entrar no lago.,Pegou un peixe.,Parecía sucio.,cause,1,162,False
O alumno chegou á aula cunha almofada mollada.,O seu paraugas rompeuse.,A súa bicicleta foi roubada.,cause,0,163,False
A tartaruga na pantalla do ordenador moveuse.,O usuario fixo clic na tartaruga.,O usuario moveu a tartaruga.,cause,1,164,False
O condutor tomou unha ruta de rotonda.,O accidente ocorreu na estrada.,Seguiu o camión diante del.,cause,0,165,False
Colguei o liño empapado de auga na correa exterior.,Despois secouse.,Lasi entrou nos puntos.,effect,0,166,False
A muller levaba lentes escuras.,A luz solar era brillante.,Quitou o sombreiro.,cause,0,167,False
O home mirou o ceo nocturno.,Desexaba que fose verán.,Pensou que era bo.,cause,1,168,False
Sentinme aburrido.,Fun para a cama cedo.,Quedei esperto toda a noite.,effect,0,169,False
O home foi ao barbeiro.,Estaba crecendo o pelo.,O seu pelo era longo.,cause,1,170,False
O rapaz burlou ao novo estudante na aula.,O rapaz acolleu ao novo estudante.,Ao rapaz non lle gustou o novo estudante.,effect,1,171,False
Eu ansiaba un vaso de leite.,Eu comía galletas.,Eu adoitaba asar o pan.,cause,0,172,False
Comezou a chover.,O condutor acendeu as lanternas.,O condutor cambiou o coche cara atrás.,effect,0,173,False
A maioría dos aparcamentos estaban baleiros.,Aparquei no medio da rúa.,Aparqueino preto da porta.,effect,1,174,False
O autor perdeu o prazo para enviar a factura.,O autor recibiu unha orde de contención.,Editou a factura.,cause,0,175,False
O compañeiro chamoume.,Quería falar co supervisor.,Teño o meu número de identificación.,cause,0,176,False
O vento soprou por unha xanela aberta.,O timbre soou.,As cortinas sacudiron.,effect,1,177,False
A electricidade saíu na miña casa.,Saquei as luces.,Apaguei o fusible.,cause,1,178,False
O halterofilia saltou aos pés.,Mostrou os seus músculos diante dun espello.,Levantou o ferro sobre a cabeza.,effect,1,179,False
O alumno intentou facer as matemáticas na súa cabeza.,Parou a calculadora.,Estaba confuso.,effect,1,180,False
O bebé quedou durmido.,O pai cambiou o cueiro do bebé.,O pai sacudiu lentamente ao neno.,cause,1,181,False
A rapaza lanzou un globo de auga ao neno.,O rapaz conseguiu unha conmoción.,O rapaz casouse.,effect,1,182,False
O fotógrafo esqueceu usar o flash na cámara.,A imaxe resultou ser néboa.,Todos na imaxe negáronse a sorrir.,effect,0,183,False
Declinei a invitación de aniversario.,Estaba só.,Estaba fóra da cidade.,cause,1,184,False
Practicei.,Sentinme forte.,Tiven medo.,effect,0,185,False
Presionei unha esponxa fina.,Estaba mollado.,A auga saíu dela.,effect,1,186,False
Os turistas subiron ao transbordador ata o resort.,A zona do resto foi creada cedo.,A zona do resto estaba na illa.,cause,1,187,False
O rapaz ten un tojo.,Tiña medo das agullas.,Quería rebelarse.,effect,1,188,False
Un vehículo descoñecido estacionado fóra da miña casa.,Estaba preocupado.,Chamei aos soldados.,effect,0,189,False
O criminal entregouse por dentro.,As probas implicáronlle.,Non había probas contra el.,cause,0,190,False
O home gordo decidiu perder peso.,Deixou de comer doces.,Abstívose da cafeína.,effect,0,191,False
A rapaza pisou o xeo.,El esvarou.,Ela tremía.,effect,0,192,False
A muller ten un círculo baixo os ollos.,Quedou esperto toda a noite.,Ela enviou ao seu fillo a durmir.,cause,0,193,False
A lava fluíu do volcán.,O volcán estalou.,O volcán estaba tranquilo.,cause,0,194,False
A muller púxose nos zapatos.,Coñecía a todos na cerimonia.,Quería saír da festa.,cause,1,195,False
Paguei a garda da prisión.,Deume permiso para pasar á prisión.,Mantívome en prisión.,effect,0,196,False
O executivo fallou.,Vendeu as accións da compañía.,Perdeu as súas posesións.,cause,1,197,False
O home foi ao médico.,O médico estaba de vacacións.,O home estaba enfermo.,cause,1,198,False
Deixei o meu dormitorio pola fiestra.,A casa prendeu lume.,A casa estaba baleira.,cause,0,199,False
Os dedos do neno engurráronse.,Bañouse durante moito tempo.,Ela fregou o xabón nos dedos.,effect,0,200,True
Cuspín leite.,O leite tiña un sabor amargo.,A miña boca estaba seca.,cause,0,201,False
Botei de menos o autobús.,Estivera a traballar.,Cheguei tarde ao traballo.,effect,1,202,False
O camión chocou co coche.,O camión aumentou a velocidade.,O coche rompeu.,effect,1,203,False
O equipo enganou ao torneo para a súa vantaxe.,Gañaron.,Voluntarios.,effect,0,204,False
Unha botella de refresco fai un son.,Voltei a botella.,Enrolei a tapa.,cause,1,205,False
O rapaz estaba pechado da súa casa.,Arrastrou a través dunha xanela aberta.,Subiu no tellado.,effect,0,206,False
O timbre soou.,O estraño bateu na porta.,A muller mirou polo buraco da porta.,effect,1,207,False
O home sucedeu o traxe.,Atopounos lavando a roupa.,Colgouno no seu armario.,effect,0,208,False
A rapaza espremiu un tubo de pasta de dentes.,A pasta de dentes fluía do tubo.,A rapaza cuspida a pasta de dentes.,effect,0,209,False
As vítimas civís da guerra duplicáronse.,Os opositores á guerra marcharon.,Os opositores á guerra organizaron un desfile.,effect,0,210,False
A rapaza sacoulle a cinta axiña do pelo.,Atou a cinta.,A cinta parecía infantil.,cause,1,211,False
O home sufriu unha cirurxía xenética.,Envelleceu.,Parecía novo.,effect,1,212,False
A galiña do bebé saíu do ovo.,O ovo foi eclosionado.,Rompín o ovo.,cause,0,213,False
O prisioneiro tiña fame.,Morreu.,Fuxiu.,effect,0,214,False
O home perdeu o equilibrio nas escaleiras.,Subiu as escaleiras.,Caeu polas escaleiras.,effect,1,215,False
Golpeou a semente.,Fumaba refresco.,Abriu unha lata de refresco.,cause,0,216,False
O vento frío soprou pola fiestra.,Calmei.,Tremín.,effect,1,217,False
O alumno tivo a oportunidade de pagar a matrícula para ir á universidade.,Os seus compañeiros respectárono.,Obtivo bos resultados.,cause,1,218,False
A rapaza burlou ao neno.,Vivía xunto a ela.,Creceu con sentimentos de amor por ela.,effect,1,219,False
Un beduino con fame roubou comida.,Axitou a compaixón.,Non tiña cartos.,cause,1,220,False
Chamei ao meu amigo para falar.,Quería privacidade.,Sentinme só.,cause,1,221,False
O home agarroume a man.,Saquei a man.,Deixei unha palmada.,effect,0,222,False
Eviteino.,Os fogos de artificio foron disparados ao aire.,O prato voou cara á miña cabeza.,effect,1,223,False
A rapaza mastigou as uñas.,Estaba preocupado.,Quedou impresionado.,cause,0,224,False
Voltei as páxinas no calendario.,Marcei a cita no calendario.,Foi o comezo do mes.,cause,1,225,False
O Señor descubriu que a súa muller creceu cunha relación secundaria.,Despediu ao seu avogado.,Iniciou o proceso de divorcio.,effect,1,226,False
A rapaza deixou caer o balón.,A bola bateu.,A pelota está brillando.,effect,0,227,False
A rapaza cometeu un erro na proba.,Adiviñou a resposta.,Eliminou a súa resposta.,effect,1,228,False
O xogador enfrontouse ao seu rival.,O seu rival conseguiu o balón.,O seu rival caeu ao chan.,effect,1,229,False
Escollín tomates do campo.,Estaban maduros.,Regei.,cause,0,230,False
O home quería amosar cariño.,Coñeceu á súa ex-moza para xantar.,Ela mercou chocolate para o seu mozo.,effect,1,231,False
O mercurio dentro do termómetro subiu.,Caín o termómetro.,O tempo facía moito calor.,cause,1,232,False
O tornado chegou cara á cidade.,O tellado do xulgado colapsou.,A estrada era perigosa.,effect,0,233,False
Os alumnos conseguiron unha póla.,As súas marcas melloraron.,Entrou na proba.,effect,0,234,False
Sentinme cómodo.,Axeonlles na rúa.,Cubrínme cunha manta.,effect,1,235,False
Rodinei a pedra.,Era resbaladizo.,Foi brillante.,effect,1,236,False
Engadín azucre ao café.,O café cheiraba amargo.,O café tiña un sabor doce.,effect,1,237,False
O home pasou polos trámites.,Foi cortado con papel.,Arrouxou os papeis.,effect,0,238,False
Golpei o cravo cun martelo.,A uña afundiuse no taboleiro.,A uña se oxidou.,effect,0,239,False
O peixe tirou o cinto.,O pescador tirou o peixe á cintura.,O pescador lanzou o cinto cara á auga.,effect,0,240,False
O rapaz avergoñouse de ir á escola.,Creceu inchado.,Sacou as súas muletas.,effect,0,241,False
As miñas expresións faciais ilumináronse.,Recibín as boas novas.,Perdín a miña paciencia.,cause,0,242,False
Limpei as mans cunha toalla.,A toalla estaba mollada.,As miñas mans estaban molladas.,cause,1,243,False
O home perdeu o equilibrio na cadeira.,A cadeira sacudiu ao chan.,Botou a pintura na cadeira.,cause,0,244,False
Os xogadores culparon directamente.,Perderon o seu xogo.,O seu adestrador aprazou a práctica.,cause,0,245,False
Quería unha desculpa.,Lamentei a miña decisión.,Conseguín os meus obxectivos.,cause,0,246,False
A muller estaba farta da súa cita.,Fíxolle preguntas sobre ela mesma.,Falou de forma consistente de si mesmo.,cause,1,247,False
A rapaza iluminouse cun sorriso.,As súas meixelas puxéronse vermellas.,Os seus botóns amosáronse.,effect,1,248,False
Os barcos inimigos estalaron.,Pasoume sobre min.,Ancorou no porto.,cause,0,249,False
O home feriu a perna.,Mergullo no abismo.,Pasou sobre o vaso roto.,cause,1,250,False
Os detectives sacaron o po da zona do crime cos dedos.,Descubriron a identidade do asasino.,Atoparon armas no lugar do crime.,effect,0,251,False
Había un tráfico pesado na estrada.,Pasei un atallo.,Pedín un camiño de bicicleta.,effect,0,252,False
A economía do país caeu.,Moita xente estaba enferma.,A maioría da xente estaba no paro.,effect,1,253,False
Un mestre de ruta explotou un asubío para os nenos.,Querían ir de onde viña o tráfico.,Recoñeceunos desde o seu barrio.,cause,0,254,False
Voltei os ollos cara ao meu amigo.,Díxome a verdade.,Fixo comentarios despectivos.,cause,1,255,False
O coche conducía sen gas.,O condutor foi golpeado na estrada.,O condutor colleu aos loitadores.,effect,0,256,False
A muller entrou na sala de entrega.,O bebé naceu.,A muller tiña dor pola mañá.,effect,0,257,False
O sombreiro do home estaba fóra.,Quitou o sombreiro.,Había un vento fóra.,cause,1,258,False
A moza asistiu á festa de aniversario dun compañeiro de estudante.,Aceptou a invitación.,Comprou un agasallo.,cause,0,259,False
O rapaz sentiu unha calor na testa.,A súa nai mirouno con calor.,A súa nai levouno ao xardín.,effect,0,260,False
O home pintouse a si mesmo.,Ela quería fotografar a súa cita.,Engrasou o pelo.,cause,0,261,False
A electricidade foi desactivada na casa.,Busquei unha lanterna.,Collín unha pala.,effect,0,262,False
A familia mudouse a unha gran casa.,O mozo graduouse na escola secundaria.,A nai deu a luz aos xemelgos.,cause,1,263,False
O corredor usou unha cámara lenta.,Quería preservar o seu poder.,Viu a última liña.,cause,0,264,False
O rapaz golpeou a máquina expendedora.,A máquina escupía o seu cambio.,A bolsa de correas quedou preso.,effect,1,265,False
O can do meu amigo morreu.,Voltei os ollos cara a el.,Abrazei.,effect,1,266,False
